datetime,temp,description
2025-08-24 09:00:00,17.37,overcast clouds
2025-08-24 12:00:00,18.89,overcast clouds
2025-08-24 15:00:00,22.0,overcast clouds
2025-08-24 18:00:00,23.26,overcast clouds
2025-08-24 21:00:00,18.13,overcast clouds
2025-08-25 00:00:00,18.36,overcast clouds
2025-08-25 03:00:00,16.74,broken clouds
2025-08-25 06:00:00,16.32,scattered clouds
2025-08-25 09:00:00,23.01,clear sky
2025-08-25 12:00:00,27.62,clear sky
2025-08-25 15:00:00,28.32,clear sky
2025-08-25 18:00:00,26.51,clear sky
2025-08-25 21:00:00,22.12,clear sky
2025-08-26 00:00:00,20.04,clear sky
2025-08-26 03:00:00,18.83,overcast clouds
2025-08-26 06:00:00,17.68,overcast clouds
2025-08-26 09:00:00,20.38,overcast clouds
2025-08-26 12:00:00,24.61,broken clouds
2025-08-26 15:00:00,26.16,broken clouds
2025-08-26 18:00:00,23.39,overcast clouds
2025-08-26 21:00:00,19.47,scattered clouds
2025-08-27 00:00:00,17.46,few clouds
2025-08-27 03:00:00,16.26,broken clouds
2025-08-27 06:00:00,15.81,scattered clouds
2025-08-27 09:00:00,20.41,scattered clouds
2025-08-27 12:00:00,21.91,broken clouds
2025-08-27 15:00:00,23.31,overcast clouds
2025-08-27 18:00:00,21.53,overcast clouds
2025-08-27 21:00:00,19.04,overcast clouds
2025-08-28 00:00:00,16.77,broken clouds
2025-08-28 03:00:00,15.59,overcast clouds
2025-08-28 06:00:00,14.74,overcast clouds
2025-08-28 09:00:00,18.2,broken clouds
2025-08-28 12:00:00,22.67,broken clouds
2025-08-28 15:00:00,22.32,overcast clouds
2025-08-28 18:00:00,20.65,overcast clouds
2025-08-28 21:00:00,17.6,clear sky
2025-08-29 00:00:00,15.8,clear sky
2025-08-29 03:00:00,14.62,broken clouds
2025-08-29 06:00:00,16.19,broken clouds
